id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
fantom,42,FTM,Fantom,2803634835.5265927000000000,NA,1241886835.2480265446422735,38436613.2130202725265026,0.4429559868180084,-4.8212372102031583,0.4566145830214124,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
algorand,43,ALGO,Algorand,8226801995.9410300000000000,10000000000.0000000000000000,1156562187.8970503838145592,22629776.5259707638209111,0.1405846632102826,-2.1033376213402760,0.1432369850677181,https://algoexplorer.io/
flow,44,FLOW,Flow,1511780104.0000000000000000,NA,1019671406.2568578890494840,17761411.1603088329012428,0.6744839435040335,0.4649144366835096,0.6750465499771515,https://flowscan.org/
hedera-hashgraph,45,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,1012160860.6296008118289524,11854428.5942782708565248,0.0682382194326483,-1.0518973515363921,0.0689095826957071,https://hash-hash.info/
kucoin-token,46,KCS,KuCoin Token,95540492.2885607500000000,170118638.0000000000000000,922763444.2149396691279366,504146.1257241051335944,9.6583492727661394,-0.5133928935415715,9.7046017953720065,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
bitcoin-sv,47,BSV,Bitcoin SV,19734759.3750000000000000,NA,890644091.8863832764596306,3437083.1224324269876331,45.1307297424994966,-2.0002771374295828,45.9651451200447001,https://bsvexplorer.io/
axie-infinity,48,AXS,Axie Infinity,148179267.4167794600000000,NA,889406710.1385396890254643,12806127.4209798119682087,6.0022344936888616,-1.6419869563925474,6.1004854756112002,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
quant,49,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,871032148.7551619363283012,2950278.1193531984677641,72.1486831533295874,-0.9698976499536934,73.0411084065290718,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
helium,50,HNT,Helium,160875441.8242133300000000,NA,862961238.2794354525642510,5335669.9124379696869988,5.3641576892909663,0.9332273288719657,5.4330394656660149,https://explorer.helium.com/
eos,51,EOS,EOS,1504507335.5518000000000000,NA,861526743.6039444841506052,33750236.1870871104933469,0.5726304706171253,-1.3021472040877624,0.5789119025191069,https://bloks.io/
